ACCOUNT_ID,BRAND_D,TRANSACTION_ID,TRANSACTION_DATE,ORIGINAL_AMOUNT,TRANSACTION_STATUS,CHANNEL,ACCOUNT_MSISDN
ACC_10018,Pass Internet 25Go,TX_20260301_0018,2026-03-01 08:18:06,15.000,SUCCESS,USSD *100#,21698002214
ACC_10019,Carte Recharge 5DT,TX_20260301_0019,2026-03-01 08:19:13,20.000,SUCCESS,Application My TT,21698002337
ACC_10020,Carte Recharge 10DT,TX_20260301_0020,2026-03-01 08:20:20,25.000,SUCCESS,Portail Web TT,21698002460
ACC_10021,Transfert de Solde,TX_20260301_0021,2026-03-01 08:21:27,50.000,SUCCESS,Espace TT Centre Urbain,21698002583
ACC_10022,Forfait 5G Illimité,TX_20260301_0022,2026-03-01 08:22:34,1.400,DECLINED,POS Distributeur Tunis,21698002706
ACC_10023,Recharge Light,TX_20260301_0023,2026-03-01 08:23:41,3.500,REFUND,Borne Libre Service,21698002829
ACC_10024,Recharge Express TT,TX_20260301_0024,2026-03-01 08:24:48,5.000,SUCCESS,USSD *100#,21698002952
ACC_10025,Facture Mobile Postpayé,TX_20260301_0025,2026-03-01 09:25:55,10.000,SUCCESS,Application My TT,21698003075
ACC_10026,Pass Internet 25Go,TX_20260301_0026,2026-03-01 09:26:02,15.000,SUCCESS,Portail Web TT,21698003198
ACC_10027,Carte Recharge 5DT,TX_20260301_0027,2026-03-01 09:27:09,20.000,SUCCESS,Espace TT Centre Urbain,21698003321
ACC_10028,Carte Recharge 10DT,TX_20260301_0028,2026-03-01 09:28:16,25.000,DECLINED,POS Distributeur Tunis,21698003444
ACC_10029,Transfert de Solde,TX_20260301_0029,2026-03-01 09:29:23,50.000,REFUND,Borne Libre Service,21698003567
ACC_10030,Forfait 5G Illimité,TX_20260301_0030,2026-03-01 09:30:30,1.400,SUCCESS,USSD *100#,21698003690
ACC_10031,Recharge Light,TX_20260301_0031,2026-03-01 09:31:37,3.500,SUCCESS,Application My TT,21698003813
ACC_10032,Recharge Express TT,TX_20260301_0032,2026-03-01 09:32:44,5.000,SUCCESS,Portail Web TT,21698003936
ACC_10033,Facture Mobile Postpayé,TX_20260301_0033,2026-03-01 09:33:51,10.000,SUCCESS,Espace TT Centre Urbain,21698004059
ACC_10034,Pass Internet 25Go,TX_20260301_0034,2026-03-01 09:34:58,15.000,DECLINED,POS Distributeur Tunis,21698004182
ACC_10000,Carte Recharge 5DT,TX_20260301_0035,2026-03-01 09:35:05,20.000,REFUND,Borne Libre Service,21698004305
ACC_10001,Carte Recharge 10DT,TX_20260301_0036,2026-03-01 09:36:12,25.000,SUCCESS,USSD *100#,21698004428
ACC_10002,Transfert de Solde,TX_20260301_0037,2026-03-01 09:37:19,50.000,SUCCESS,Application My TT,21698004551
ACC_10003,Forfait 5G Illimité,TX_20260301_0038,2026-03-01 09:38:26,1.400,SUCCESS,Portail Web TT,21698004674
ACC_10004,Recharge Light,TX_20260301_0039,2026-03-01 09:39:33,3.500,SUCCESS,Espace TT Centre Urbain,21698004797
ACC_10005,Recharge Express TT,TX_20260301_0040,2026-03-01 09:40:40,5.000,DECLINED,POS Distributeur Tunis,21698004920
ACC_10006,Facture Mobile Postpayé,TX_20260301_0041,2026-03-01 09:41:47,10.000,REFUND,Borne Libre Service,21698005043
ACC_10007,Pass Internet 25Go,TX_20260301_0042,2026-03-01 09:42:54,15.000,SUCCESS,USSD *100#,21698005166
ACC_10008,Carte Recharge 5DT,TX_20260301_0043,2026-03-01 09:43:01,20.000,SUCCESS,Application My TT,21698005289
ACC_10009,Carte Recharge 10DT,TX_20260301_0044,2026-03-01 09:44:08,25.000,SUCCESS,Portail Web TT,21698005412
ACC_10010,Transfert de Solde,TX_20260301_0045,2026-03-01 09:45:15,50.000,SUCCESS,Espace TT Centre Urbain,21698005535
ACC_10011,Forfait 5G Illimité,TX_20260301_0046,2026-03-01 09:46:22,1.400,DECLINED,POS Distributeur Tunis,21698005658
ACC_10012,Recharge Light,TX_20260301_0047,2026-03-01 09:47:29,3.500,REFUND,Borne Libre Service,21698005781
ACC_10013,Recharge Express TT,TX_20260301_0048,2026-03-01 09:48:36,5.000,SUCCESS,USSD *100#,21698005904
ACC_10014,Facture Mobile Postpayé,TX_20260301_0049,2026-03-01 09:49:43,10.000,SUCCESS,Application My TT,21698006027
ACC_10015,Pass Internet 25Go,TX_20260301_0050,2026-03-01 10:50:50,15.000,SUCCESS,Portail Web TT,21698006150
ACC_10016,Carte Recharge 5DT,TX_20260301_0051,2026-03-01 10:51:57,20.000,SUCCESS,Espace TT Centre Urbain,21698006273
ACC_10017,Carte Recharge 10DT,TX_20260301_0052,2026-03-01 10:52:04,25.000,DECLINED,POS Distributeur Tunis,21698006396
ACC_10018,Transfert de Solde,TX_20260301_0053,2026-03-01 10:53:11,50.000,REFUND,Borne Libre Service,21698006519
ACC_10019,Forfait 5G Illimité,TX_20260301_0054,2026-03-01 10:54:18,1.400,SUCCESS,USSD *100#,21698006642
ACC_10020,Recharge Light,TX_20260301_0055,2026-03-01 10:55:25,3.500,SUCCESS,Application My TT,21698006765
ACC_10021,Recharge Express TT,TX_20260301_0056,2026-03-01 10:56:32,5.000,SUCCESS,Portail Web TT,21698006888
ACC_10022,Facture Mobile Postpayé,TX_20260301_0057,2026-03-01 10:57:39,10.000,SUCCESS,Espace TT Centre Urbain,21698007011
ACC_10023,Pass Internet 25Go,TX_20260301_0058,2026-03-01 10:58:46,15.000,DECLINED,POS Distributeur Tunis,21698007134
ACC_10024,Carte Recharge 5DT,TX_20260301_0059,2026-03-01 10:59:53,20.000,REFUND,Borne Libre Service,21698007257
ACC_10025,Carte Recharge 10DT,TX_20260301_0060,2026-03-01 10:00:00,25.000,SUCCESS,USSD *100#,21698007380
ACC_10026,Transfert de Solde,TX_20260301_0061,2026-03-01 10:01:07,50.000,SUCCESS,Application My TT,21698007503
ACC_10027,Forfait 5G Illimité,TX_20260301_0062,2026-03-01 10:02:14,1.400,SUCCESS,Portail Web TT,21698007626
ACC_10028,Recharge Light,TX_20260301_0063,2026-03-01 10:03:21,3.500,SUCCESS,Espace TT Centre Urbain,21698007749
ACC_10029,Recharge Express TT,TX_20260301_0064,2026-03-01 10:04:28,5.000,DECLINED,POS Distributeur Tunis,21698007872
ACC_10030,Facture Mobile Postpayé,TX_20260301_0065,2026-03-01 10:05:35,10.000,REFUND,Borne Libre Service,21698007995
ACC_10031,Pass Internet 25Go,TX_20260301_0066,2026-03-01 10:06:42,15.000,SUCCESS,USSD *100#,21698008118
ACC_10032,Carte Recharge 5DT,TX_20260301_0067,2026-03-01 10:07:49,20.000,SUCCESS,Application My TT,21698008241
ACC_10033,Carte Recharge 10DT,TX_20260301_0068,2026-03-01 10:08:56,25.000,SUCCESS,Portail Web TT,21698008364
ACC_10034,Transfert de Solde,TX_20260301_0069,2026-03-01 10:09:03,50.000,SUCCESS,Espace TT Centre Urbain,21698008487
ACC_10000,Forfait 5G Illimité,TX_20260301_0070,2026-03-01 10:10:10,1.400,DECLINED,POS Distributeur Tunis,21698008610
ACC_10001,Recharge Light,TX_20260301_0071,2026-03-01 10:11:17,3.500,REFUND,Borne Libre Service,21698008733
ACC_10002,Recharge Express TT,TX_20260301_0072,2026-03-01 10:12:24,5.000,SUCCESS,USSD *100#,21698008856
ACC_10003,Facture Mobile Postpayé,TX_20260301_0073,2026-03-01 10:13:31,10.000,SUCCESS,Application My TT,21698008979
ACC_10004,Pass Internet 25Go,TX_20260301_0074,2026-03-01 10:14:38,15.000,SUCCESS,Portail Web TT,21698009102
ACC_10005,Carte Recharge 5DT,TX_20260301_0075,2026-03-01 11:15:45,20.000,SUCCESS,Espace TT Centre Urbain,21698009225
ACC_10006,Carte Recharge 10DT,TX_20260301_0076,2026-03-01 11:16:52,25.000,DECLINED,POS Distributeur Tunis,21698009348
ACC_10007,Transfert de Solde,TX_20260301_0077,2026-03-01 11:17:59,50.000,REFUND,Borne Libre Service,21698009471
ACC_10008,Forfait 5G Illimité,TX_20260301_0078,2026-03-01 11:18:06,1.400,SUCCESS,USSD *100#,21698009594
ACC_10009,Recharge Light,TX_20260301_0079,2026-03-01 11:19:13,3.500,SUCCESS,Application My TT,21698009717
ACC_10010,Recharge Express TT,TX_20260301_0080,2026-03-01 11:20:20,5.000,SUCCESS,Portail Web TT,21698009840
ACC_10011,Facture Mobile Postpayé,TX_20260301_0081,2026-03-01 11:21:27,10.000,SUCCESS,Espace TT Centre Urbain,21698009963
ACC_10012,Pass Internet 25Go,TX_20260301_0082,2026-03-01 11:22:34,15.000,DECLINED,POS Distributeur Tunis,21698010086
ACC_10013,Carte Recharge 5DT,TX_20260301_0083,2026-03-01 11:23:41,20.000,REFUND,Borne Libre Service,21698010209
ACC_10014,Carte Recharge 10DT,TX_20260301_0084,2026-03-01 11:24:48,25.000,SUCCESS,USSD *100#,21698010332
ACC_10015,Transfert de Solde,TX_20260301_0085,2026-03-01 11:25:55,50.000,SUCCESS,Application My TT,21698010455
ACC_10016,Forfait 5G Illimité,TX_20260301_0086,2026-03-01 11:26:02,1.400,SUCCESS,Portail Web TT,21698010578
ACC_10017,Recharge Light,TX_20260301_0087,2026-03-01 11:27:09,3.500,SUCCESS,Espace TT Centre Urbain,21698010701
ACC_10018,Recharge Express TT,TX_20260301_0088,2026-03-01 11:28:16,5.000,DECLINED,POS Distributeur Tunis,21698010824
ACC_10019,Facture Mobile Postpayé,TX_20260301_0089,2026-03-01 11:29:23,10.000,REFUND,Borne Libre Service,21698010947
ACC_10020,Pass Internet 25Go,TX_20260301_0090,2026-03-01 11:30:30,15.000,SUCCESS,USSD *100#,21698011070
ACC_10021,Carte Recharge 5DT,TX_20260301_0091,2026-03-01 11:31:37,20.000,SUCCESS,Application My TT,21698011193
ACC_10022,Carte Recharge 10DT,TX_20260301_0092,2026-03-01 11:32:44,25.000,SUCCESS,Portail Web TT,21698011316
ACC_10023,Transfert de Solde,TX_20260301_0093,2026-03-01 11:33:51,50.000,SUCCESS,Espace TT Centre Urbain,21698011439
ACC_10024,Forfait 5G Illimité,TX_20260301_0094,2026-03-01 11:34:58,1.400,DECLINED,POS Distributeur Tunis,21698011562
ACC_10025,Recharge Light,TX_20260301_0095,2026-03-01 11:35:05,3.500,REFUND,Borne Libre Service,21698011685
ACC_10026,Recharge Express TT,TX_20260301_0096,2026-03-01 11:36:12,5.000,SUCCESS,USSD *100#,21698011808
ACC_10027,Facture Mobile Postpayé,TX_20260301_0097,2026-03-01 11:37:19,10.000,SUCCESS,Application My TT,21698011931
ACC_10028,Pass Internet 25Go,TX_20260301_0098,2026-03-01 11:38:26,15.000,SUCCESS,Portail Web TT,21698012054
ACC_10029,Carte Recharge 5DT,TX_20260301_0099,2026-03-01 11:39:33,20.000,SUCCESS,Espace TT Centre Urbain,21698012177
ACC_10030,Carte Recharge 10DT,TX_20260301_0100,2026-03-01 12:40:40,25.000,DECLINED,POS Distributeur Tunis,21698012300
ACC_10031,Transfert de Solde,TX_20260301_0101,2026-03-01 12:41:47,50.000,REFUND,Borne Libre Service,21698012423
ACC_10032,Forfait 5G Illimité,TX_20260301_0102,2026-03-01 12:42:54,1.400,SUCCESS,USSD *100#,21698012546
ACC_10033,Recharge Light,TX_20260301_0103,2026-03-01 12:43:01,3.500,SUCCESS,Application My TT,21698012669
ACC_10034,Recharge Express TT,TX_20260301_0104,2026-03-01 12:44:08,5.000,SUCCESS,Portail Web TT,21698012792
ACC_10000,Facture Mobile Postpayé,TX_20260301_0105,2026-03-01 12:45:15,10.000,SUCCESS,Espace TT Centre Urbain,21698012915
ACC_10001,Pass Internet 25Go,TX_20260301_0106,2026-03-01 12:46:22,15.000,DECLINED,POS Distributeur Tunis,21698013038
ACC_10002,Carte Recharge 5DT,TX_20260301_0107,2026-03-01 12:47:29,20.000,REFUND,Borne Libre Service,21698013161
ACC_10003,Carte Recharge 10DT,TX_20260301_0108,2026-03-01 12:48:36,25.000,SUCCESS,USSD *100#,21698013284
ACC_10004,Transfert de Solde,TX_20260301_0109,2026-03-01 12:49:43,50.000,SUCCESS,Application My TT,21698013407
ACC_10005,Forfait 5G Illimité,TX_20260301_0110,2026-03-01 12:50:50,1.400,SUCCESS,Portail Web TT,21698013530
ACC_10006,Recharge Light,TX_20260301_0111,2026-03-01 12:51:57,3.500,SUCCESS,Espace TT Centre Urbain,21698013653
ACC_10007,Recharge Express TT,TX_20260301_0112,2026-03-01 12:52:04,5.000,DECLINED,POS Distributeur Tunis,21698013776
ACC_10008,Facture Mobile Postpayé,TX_20260301_0113,2026-03-01 12:53:11,10.000,REFUND,Borne Libre Service,21698013899
ACC_10009,Pass Internet 25Go,TX_20260301_0114,2026-03-01 12:54:18,15.000,SUCCESS,USSD *100#,21698014022
ACC_10010,Carte Recharge 5DT,TX_20260301_0115,2026-03-01 12:55:25,20.000,SUCCESS,Application My TT,21698014145
ACC_10011,Carte Recharge 10DT,TX_20260301_0116,2026-03-01 12:56:32,25.000,SUCCESS,Portail Web TT,21698014268
ACC_10012,Transfert de Solde,TX_20260301_0117,2026-03-01 12:57:39,50.000,SUCCESS,Espace TT Centre Urbain,21698014391
ACC_10013,Forfait 5G Illimité,TX_20260301_0118,2026-03-01 12:58:46,1.400,DECLINED,POS Distributeur Tunis,21698014514
ACC_10014,Recharge Light,TX_20260301_0119,2026-03-01 12:59:53,3.500,REFUND,Borne Libre Service,21698014637
ACC_10015,Recharge Express TT,TX_20260301_0120,2026-03-01 12:00:00,5.000,SUCCESS,USSD *100#,21698014760
ACC_10016,Facture Mobile Postpayé,TX_20260301_0121,2026-03-01 12:01:07,10.000,SUCCESS,Application My TT,21698014883
ACC_10017,Pass Internet 25Go,TX_20260301_0122,2026-03-01 12:02:14,15.000,SUCCESS,Portail Web TT,21698015006
ACC_10018,Carte Recharge 5DT,TX_20260301_0123,2026-03-01 12:03:21,20.000,SUCCESS,Espace TT Centre Urbain,21698015129
ACC_10019,Carte Recharge 10DT,TX_20260301_0124,2026-03-01 12:04:28,25.000,DECLINED,POS Distributeur Tunis,21698015252
ACC_10020,Transfert de Solde,TX_20260301_0125,2026-03-01 13:05:35,50.000,REFUND,Borne Libre Service,21698015375
ACC_10021,Forfait 5G Illimité,TX_20260301_0126,2026-03-01 13:06:42,1.400,SUCCESS,USSD *100#,21698015498
ACC_10022,Recharge Light,TX_20260301_0127,2026-03-01 13:07:49,3.500,SUCCESS,Application My TT,21698015621
ACC_10023,Recharge Express TT,TX_20260301_0128,2026-03-01 13:08:56,5.000,SUCCESS,Portail Web TT,21698015744
ACC_10024,Facture Mobile Postpayé,TX_20260301_0129,2026-03-01 13:09:03,10.000,SUCCESS,Espace TT Centre Urbain,21698015867
ACC_10025,Pass Internet 25Go,TX_20260301_0130,2026-03-01 13:10:10,15.000,DECLINED,POS Distributeur Tunis,21698015990
ACC_10026,Carte Recharge 5DT,TX_20260301_0131,2026-03-01 13:11:17,20.000,REFUND,Borne Libre Service,21698016113
ACC_10027,Carte Recharge 10DT,TX_20260301_0132,2026-03-01 13:12:24,25.000,SUCCESS,USSD *100#,21698016236
ACC_10028,Transfert de Solde,TX_20260301_0133,2026-03-01 13:13:31,50.000,SUCCESS,Application My TT,21698016359
ACC_10029,Forfait 5G Illimité,TX_20260301_0134,2026-03-01 13:14:38,1.400,SUCCESS,Portail Web TT,21698016482
ACC_10030,Recharge Light,TX_20260301_0135,2026-03-01 13:15:45,3.500,SUCCESS,Espace TT Centre Urbain,21698016605
ACC_10031,Recharge Express TT,TX_20260301_0136,2026-03-01 13:16:52,5.000,DECLINED,POS Distributeur Tunis,21698016728
ACC_10032,Facture Mobile Postpayé,TX_20260301_0137,2026-03-01 13:17:59,10.000,REFUND,Borne Libre Service,21698016851
ACC_10033,Pass Internet 25Go,TX_20260301_0138,2026-03-01 13:18:06,15.000,SUCCESS,USSD *100#,21698016974
ACC_10034,Carte Recharge 5DT,TX_20260301_0139,2026-03-01 13:19:13,20.000,SUCCESS,Application My TT,21698017097
ACC_10000,Carte Recharge 10DT,TX_20260301_0140,2026-03-01 13:20:20,25.000,SUCCESS,Portail Web TT,21698017220
ACC_10001,Transfert de Solde,TX_20260301_0141,2026-03-01 13:21:27,50.000,SUCCESS,Espace TT Centre Urbain,21698017343
ACC_10002,Forfait 5G Illimité,TX_20260301_0142,2026-03-01 13:22:34,1.400,DECLINED,POS Distributeur Tunis,21698017466
ACC_10003,Recharge Light,TX_20260301_0143,2026-03-01 13:23:41,3.500,REFUND,Borne Libre Service,21698017589
ACC_10004,Recharge Express TT,TX_20260301_0144,2026-03-01 13:24:48,5.000,SUCCESS,USSD *100#,21698017712
ACC_10005,Facture Mobile Postpayé,TX_20260301_0145,2026-03-01 13:25:55,10.000,SUCCESS,Application My TT,21698017835
ACC_10006,Pass Internet 25Go,TX_20260301_0146,2026-03-01 13:26:02,15.000,SUCCESS,Portail Web TT,21698017958
ACC_10007,Carte Recharge 5DT,TX_20260301_0147,2026-03-01 13:27:09,20.000,SUCCESS,Espace TT Centre Urbain,21698018081
ACC_10008,Carte Recharge 10DT,TX_20260301_0148,2026-03-01 13:28:16,25.000,DECLINED,POS Distributeur Tunis,21698018204
ACC_10009,Transfert de Solde,TX_20260301_0149,2026-03-01 13:29:23,50.000,REFUND,Borne Libre Service,21698018327
ACC_10010,Forfait 5G Illimité,TX_20260301_0150,2026-03-01 14:30:30,1.400,SUCCESS,USSD *100#,21698018450
ACC_10011,Recharge Light,TX_20260301_0151,2026-03-01 14:31:37,3.500,SUCCESS,Application My TT,21698018573
ACC_10012,Recharge Express TT,TX_20260301_0152,2026-03-01 14:32:44,5.000,SUCCESS,Portail Web TT,21698018696
ACC_10013,Facture Mobile Postpayé,TX_20260301_0153,2026-03-01 14:33:51,10.000,SUCCESS,Espace TT Centre Urbain,21698018819
ACC_10014,Pass Internet 25Go,TX_20260301_0154,2026-03-01 14:34:58,15.000,DECLINED,POS Distributeur Tunis,21698018942
ACC_10015,Carte Recharge 5DT,TX_20260301_0155,2026-03-01 14:35:05,20.000,REFUND,Borne Libre Service,21698019065
ACC_10016,Carte Recharge 10DT,TX_20260301_0156,2026-03-01 14:36:12,25.000,SUCCESS,USSD *100#,21698019188
ACC_10017,Transfert de Solde,TX_20260301_0157,2026-03-01 14:37:19,50.000,SUCCESS,Application My TT,21698019311
ACC_10018,Forfait 5G Illimité,TX_20260301_0158,2026-03-01 14:38:26,1.400,SUCCESS,Portail Web TT,21698019434
ACC_10019,Recharge Light,TX_20260301_0159,2026-03-01 14:39:33,3.500,SUCCESS,Espace TT Centre Urbain,21698019557
ACC_10020,Recharge Express TT,TX_20260301_0160,2026-03-01 14:40:40,5.000,DECLINED,POS Distributeur Tunis,21698019680
ACC_10021,Facture Mobile Postpayé,TX_20260301_0161,2026-03-01 14:41:47,10.000,REFUND,Borne Libre Service,21698019803
ACC_10022,Pass Internet 25Go,TX_20260301_0162,2026-03-01 14:42:54,15.000,SUCCESS,USSD *100#,21698019926
ACC_10023,Carte Recharge 5DT,TX_20260301_0163,2026-03-01 14:43:01,20.000,SUCCESS,Application My TT,21698020049
ACC_10024,Carte Recharge 10DT,TX_20260301_0164,2026-03-01 14:44:08,25.000,SUCCESS,Portail Web TT,21698020172
ACC_10025,Transfert de Solde,TX_20260301_0165,2026-03-01 14:45:15,50.000,SUCCESS,Espace TT Centre Urbain,21698020295
ACC_10026,Forfait 5G Illimité,TX_20260301_0166,2026-03-01 14:46:22,1.400,DECLINED,POS Distributeur Tunis,21698020418
ACC_10027,Recharge Light,TX_20260301_0167,2026-03-01 14:47:29,3.500,REFUND,Borne Libre Service,21698020541
ACC_10028,Recharge Express TT,TX_20260301_0168,2026-03-01 14:48:36,5.000,SUCCESS,USSD *100#,21698020664
ACC_10029,Facture Mobile Postpayé,TX_20260301_0169,2026-03-01 14:49:43,10.000,SUCCESS,Application My TT,21698020787
ACC_10030,Pass Internet 25Go,TX_20260301_0170,2026-03-01 14:50:50,15.000,SUCCESS,Portail Web TT,21698020910
ACC_10031,Carte Recharge 5DT,TX_20260301_0171,2026-03-01 14:51:57,20.000,SUCCESS,Espace TT Centre Urbain,21698021033
ACC_10032,Carte Recharge 10DT,TX_20260301_0172,2026-03-01 14:52:04,25.000,DECLINED,POS Distributeur Tunis,21698021156
ACC_10033,Transfert de Solde,TX_20260301_0173,2026-03-01 14:53:11,50.000,REFUND,Borne Libre Service,21698021279
ACC_10034,Forfait 5G Illimité,TX_20260301_0174,2026-03-01 14:54:18,1.400,SUCCESS,USSD *100#,21698021402
ACC_10000,Recharge Light,TX_20260301_0175,2026-03-01 15:55:25,3.500,SUCCESS,Application My TT,21698021525
ACC_10001,Recharge Express TT,TX_20260301_0176,2026-03-01 15:56:32,5.000,SUCCESS,Portail Web TT,21698021648
ACC_10002,Facture Mobile Postpayé,TX_20260301_0177,2026-03-01 15:57:39,10.000,SUCCESS,Espace TT Centre Urbain,21698021771
ACC_10003,Pass Internet 25Go,TX_20260301_0178,2026-03-01 15:58:46,15.000,DECLINED,POS Distributeur Tunis,21698021894
ACC_10004,Carte Recharge 5DT,TX_20260301_0179,2026-03-01 15:59:53,20.000,REFUND,Borne Libre Service,21698022017
ACC_10005,Carte Recharge 10DT,TX_20260301_0180,2026-03-01 15:00:00,25.000,SUCCESS,USSD *100#,21698022140
ACC_10006,Transfert de Solde,TX_20260301_0181,2026-03-01 15:01:07,50.000,SUCCESS,Application My TT,21698022263
ACC_10007,Forfait 5G Illimité,TX_20260301_0182,2026-03-01 15:02:14,1.400,SUCCESS,Portail Web TT,21698022386
ACC_10008,Recharge Light,TX_20260301_0183,2026-03-01 15:03:21,3.500,SUCCESS,Espace TT Centre Urbain,21698022509
ACC_10009,Recharge Express TT,TX_20260301_0184,2026-03-01 15:04:28,5.000,DECLINED,POS Distributeur Tunis,21698022632
ACC_10010,Facture Mobile Postpayé,TX_20260301_0185,2026-03-01 15:05:35,10.000,REFUND,Borne Libre Service,21698022755
ACC_10011,Pass Internet 25Go,TX_20260301_0186,2026-03-01 15:06:42,15.000,SUCCESS,USSD *100#,21698022878
ACC_10012,Carte Recharge 5DT,TX_20260301_0187,2026-03-01 15:07:49,20.000,SUCCESS,Application My TT,21698023001
ACC_10013,Carte Recharge 10DT,TX_20260301_0188,2026-03-01 15:08:56,25.000,SUCCESS,Portail Web TT,21698023124
ACC_10014,Transfert de Solde,TX_20260301_0189,2026-03-01 15:09:03,50.000,SUCCESS,Espace TT Centre Urbain,21698023247
ACC_10015,Forfait 5G Illimité,TX_20260301_0190,2026-03-01 15:10:10,1.400,DECLINED,POS Distributeur Tunis,21698023370
ACC_10016,Recharge Light,TX_20260301_0191,2026-03-01 15:11:17,3.500,REFUND,Borne Libre Service,21698023493
ACC_10017,Recharge Express TT,TX_20260301_0192,2026-03-01 15:12:24,5.000,SUCCESS,USSD *100#,21698023616
ACC_10018,Facture Mobile Postpayé,TX_20260301_0193,2026-03-01 15:13:31,10.000,SUCCESS,Application My TT,21698023739
ACC_10019,Pass Internet 25Go,TX_20260301_0194,2026-03-01 15:14:38,15.000,SUCCESS,Portail Web TT,21698023862
ACC_10020,Carte Recharge 5DT,TX_20260301_0195,2026-03-01 15:15:45,20.000,SUCCESS,Espace TT Centre Urbain,21698023985
ACC_10021,Carte Recharge 10DT,TX_20260301_0196,2026-03-01 15:16:52,25.000,DECLINED,POS Distributeur Tunis,21698024108
ACC_10022,Transfert de Solde,TX_20260301_0197,2026-03-01 15:17:59,50.000,REFUND,Borne Libre Service,21698024231
ACC_10023,Forfait 5G Illimité,TX_20260301_0198,2026-03-01 15:18:06,1.400,SUCCESS,USSD *100#,21698024354
ACC_10024,Recharge Light,TX_20260301_0199,2026-03-01 15:19:13,3.500,SUCCESS,Application My TT,21698024477
ACC_10025,Recharge Express TT,TX_20260301_0200,2026-03-01 16:20:20,5.000,SUCCESS,Portail Web TT,21698024600
ACC_10026,Facture Mobile Postpayé,TX_20260301_0201,2026-03-01 16:21:27,10.000,SUCCESS,Espace TT Centre Urbain,21698024723
ACC_10027,Pass Internet 25Go,TX_20260301_0202,2026-03-01 16:22:34,15.000,DECLINED,POS Distributeur Tunis,21698024846
ACC_10028,Carte Recharge 5DT,TX_20260301_0203,2026-03-01 16:23:41,20.000,REFUND,Borne Libre Service,21698024969
ACC_10029,Carte Recharge 10DT,TX_20260301_0204,2026-03-01 16:24:48,25.000,SUCCESS,USSD *100#,21698025092
ACC_10030,Transfert de Solde,TX_20260301_0205,2026-03-01 16:25:55,50.000,SUCCESS,Application My TT,21698025215
ACC_10031,Forfait 5G Illimité,TX_20260301_0206,2026-03-01 16:26:02,1.400,SUCCESS,Portail Web TT,21698025338
ACC_10032,Recharge Light,TX_20260301_0207,2026-03-01 16:27:09,3.500,SUCCESS,Espace TT Centre Urbain,21698025461
ACC_10033,Recharge Express TT,TX_20260301_0208,2026-03-01 16:28:16,5.000,DECLINED,POS Distributeur Tunis,21698025584
ACC_10034,Facture Mobile Postpayé,TX_20260301_0209,2026-03-01 16:29:23,10.000,REFUND,Borne Libre Service,21698025707
ACC_10000,Pass Internet 25Go,TX_20260301_0210,2026-03-01 16:30:30,15.000,SUCCESS,USSD *100#,21698025830
ACC_10001,Carte Recharge 5DT,TX_20260301_0211,2026-03-01 16:31:37,20.000,SUCCESS,Application My TT,21698025953
